	001A	001B	002B	004B	006A	006B	008A	009A	009B	010A	010B	012A	012B	013A	014B	016B	017B	018B	020B	27S	30S	4S
Protein-L-isoaspartate O-methyltransferase (EC 2.1.1.77)	0	2	0	1	6	0	0	2	0	7	0	4	1	0	2	5	1	0	1	1	0	0
Proton/glutamate symport protein	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0
Protoporphyrin IX Mg-chelatase subunit H (EC 6.6.1.1)	1	4	1	2	1023	1	5	312	1	253	1	463	40	17	216	3	70	13	1	3	0	0
Protoporphyrinogen IX oxidase, aerobic (EC 1.3.3.4)	2	6	6	2	20	4	120	309	2	800	3	66	110	28	798	123	1138	1166	1	333	1	1
PrpF protein involved in 2-methylcitrate cycle	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudolysin, extracellular zinc protease (EC 3.4.24.26)	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	2	0	0	1	0	0
Pseudouridine 5'-phosphate glycosidase	2	7	3	3	549	5	534	3328	3	2111	3	565	582	1434	984	779	4568	1949	5	973	2	1
Pseudouridine kinase (EC 2.7.1.83)	142	18	21	5	2029	8	3066	6647	9	2651	9	2529	3025	2035	1737	3330	8697	3437	13	1882	2	2
Psp operon transcriptional activator	0	0	0	1	10	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	0	0
PTS system, beta-glucoside-specific IIA component (EC 2.7.1.69)	9220	24	14	250	3	138	19	5	3	8	2	5	2	6	4	7	5	3	202	2	7	11
PTS system, cellobiose-specific IIA component (EC 2.7.1.69)	5654	1478	1138	700	149	841	61	622	2028	74	4	367	76	247	157	54	174	30	1191	9	633	1163
PTS system, cellobiose-specific IIB component (EC 2.7.1.69)	19267	12157	7048	1496	198	2148	487	835	15522	107	8	805	252	447	812	590	449	53	1919	118	2065	7522
PTS system, cellobiose-specific IIC component (EC 2.7.1.69)	9284	2660	285	882	254	431	79	872	3462	212	911	611	164	350	603	352	362	92	1863	19	3451	9285
PTS system, chitobiose-specific IIC component (EC 2.7.1.69)	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PTS system, fructose- and mannose-inducible IIA component (EC 2.7.1.69)	1	51	6	49	44	1	11	376	1	1285	1	393	1	1	6	1	1	1	705	1	5	13
PTS system, fructose- and mannose-inducible IIB component (EC 2.7.1.69)	0	36	7	81	14	0	2	54	0	272	0	98	0	0	0	3	0	0	654	0	2	4
PTS system, fructose- and mannose-inducible IIC component (EC 2.7.1.69)	0	67	2	44	45	1	17	614	1	2816	3	785	0	0	0	1	3	3	375	0	15	0
PTS system, fructose- and mannose-inducible IID component (EC 2.7.1.69)	1	92	1	45	8	1	9	303	0	1448	2	440	1	1	1	1	1	1	234	1	6	1
PTS system, fructose- and mannose-inducible putative EII component	1	12	1	16	1	1	1	6	1	1	1	3	1	1	3	1	1	1	98	1	1	1
PTS system, fructose-specific IIA component (EC 2.7.1.69)	7	9	6	2	2233	7	59	3063	2	505	4	1722	220	698	553	184	833	216	5	156	10	2
PTS system, fructose-specific IIB component (EC 2.7.1.69)	1	67	1	1	116	1	7	99	336	650	188	57	66	37	15	4	20	4	1	2	71	199
PTS system, fructose-specific IIC component (EC 2.7.1.69)	11084	1252	1863	1868	2103	1221	3801	5055	676	854	733	4259	2323	6381	1840	9438	3391	1287	1773	620	2969	4852
PTS system, galactitol-specific IIA component (EC 2.7.1.69)	2067	140	1194	478	88	211	53	4230	30	152	26	1275	796	4457	2367	4031	1783	485	169	677	80	9
PTS system, galactitol-specific IIB component (EC 2.7.1.69)	6018	853	3843	1164	645	603	92	11495	188	564	59	4460	3320	7468	10890	16828	7656	1610	246	410	231	9
PTS system, galactitol-specific IIC component (EC 2.7.1.69)	2926	192	1988	658	201	407	57	7473	55	372	26	1684	2075	4320	4468	6343	4197	849	151	782	174	22
PTS system, galactosamine-specific IIB component (EC 2.7.1.69)	2	0	0	0	0	0	2	5	0	1	0	2	1	1	4	0	2	1	0	1	1	1
PTS system, galactosamine-specific IIC component (EC 2.7.1.69)	0	0	0	0	2	0	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0
PTS system, galactosamine-specific IID component (EC 2.7.1.69)	0	0	0	0	1	0	0	2	0	0	0	1	0	2	0	0	0	1	0	0	0	0
PTS system, galactose-inducible IIA component (EC 2.7.1.69)	32	145	3	2	13	3	23	19	265	11	179	3	13	9	9	9	11	2	477	64	169	327
PTS system, galactose-inducible IIB component (EC 2.7.1.69) / PTS system, galactose-inducible IIC component (EC 2.7.1.69)	579	2	0	47	12	69	5	19	1	25	1	15	7	2	4	4	9	6	17	6	5	2
PTS system, galactose-specific IIA component (EC 2.7.1.69)	1493	713	3265	141	28	195	3172	23178	278	66	356	12545	297	908	4681	43494	41	8092	37	182	845	1535
PTS system, galactose-specific IIB component (EC 2.7.1.69)	3260	51	2617	629	22	203	2157	11645	7	34	23	5275	226	511	3014	32405	27	5274	52	156	386	50
PTS system, galactose-specific IIC component (EC 2.7.1.69)	3020	56	1609	401	30	195	1495	8222	21	52	35	4251	192	466	1937	27761	30	3851	62	130	216	50
PTS system, glucitol/sorbitol-specific IIA component (EC 2.7.1.69)	4670	10707	5834	6316	19	3913	3663	2160	3365	80	3647	2807	1819	2390	2473	8420	2195	632	66	608	3327	5028
PTS system, glucitol/sorbitol-specific IIB component and second of two IIC components (EC 2.7.1.69)	0	0	2	2	1	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0
PTS system, glucitol/sorbitol-specific IIC component (EC 2.7.1.69)	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
PTS system, glucose-specific IIA component (EC 2.7.1.69)	2	2	2	2	24	3	11	13	2	4	2	6	2	5	17	7	8	13	2	2	2	2
PTS system, glucose-specific IIC component (EC 2.7.1.69)	1	0	0	1	306	0	5	606	0	35	1	375	9	70	77	8	247	4	1	3	0	1
PTS system, lactose-specific IIA component (EC 2.7.1.69)	2555	67	23	2132	17	103	986	117	14	56	7	216	1289	1445	840	5	5	3	1700	150	42	54
PTS system, lactose-specific IIC component (EC 2.7.1.69)	1188	32	15	1223	29	60	908	95	11	78	6	203	809	1634	664	9	22	6	259	335	91	149
PTS system, maltose and glucose-specific IIA component (EC 2.7.1.69)	20	52	7	16	1	6	2	3	10	1	8	7	4	4	7	9	10	1	13	0	0	0
PTS system, maltose and glucose-specific IIC component (EC 2.7.1.69)	6	10418	1413	2620	12	9	32	27	2421	9	5425	20	11	20	21	14	27	13	1718	19	14673	4620
PTS system, mannitol-specific cryptic IIA component (EC 2.7.1.69)	1	2	2	2	5	1	8	5	1	3	2	2	5	2	7	3	2	2	1	2	2	2
PTS system, mannitol-specific cryptic IIC component (EC 2.7.1.69)	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PTS system, mannitol-specific IIA component (EC 2.7.1.69)	72	1090	91	11	13	4	389	48	105	782	2552	100	1592	178	363	683	1426	1165	3	219	50	174
PTS system, mannitol-specific IIB component (EC 2.7.1.69)	0	361	24	0	1	0	77	0	34	1	965	0	0	0	1	1	1	0	0	3	63	216
PTS system, mannose-specific IIA component (EC 2.7.1.69)	24418	36444	35597	47275	12022	28216	70824	38378	13626	18633	16454	51729	15641	43645	69283	60556	41247	4610	25895	7766	13203	17927
PTS system, mannose-specific IIB component (EC 2.7.1.69)	4557	30	6290	1421	84	604	3874	3574	425	1237	62	5645	576	2043	1157	15597	1380	974	75	674	396	29
PTS system, mannose-specific IIC component (EC 2.7.1.69)	18000	16321	46858	53887	9120	33535	100256	48206	6758	31308	8053	83199	24754	65586	84338	97215	53883	5593	21736	14970	10817	14826
PTS system, mannose-specific IID component (EC 2.7.1.69)	17038	18487	23881	28512	6888	20639	33266	19701	7962	21806	7995	38582	8468	38086	33691	45940	17732	2771	18655	11126	16219	23635
PTS system, N-acetylgalactosamine- and galactosamine-specific IIA component (EC 2.7.1.69)	2852	3	1	803	416	311	122	894	2	548	3	120	84	335	855	226	697	261	83	168	1	1
PTS system, N-acetylgalactosamine-specific IIB component (EC 2.7.1.69)	2	11	1	1	17	1	3	35	1	10	1	1	8	6	6	1	3	3	1	4	1	1
PTS system, N-acetylgalactosamine-specific IIC component (EC 2.7.1.69)	1990	3	1	319	0	129	0	0	1	2	0	1	1	0	1	0	1	0	35	0	0	0
PTS system, N-acetylgalactosamine-specific IID component (EC 2.7.1.69)	1707	1	1	439	1	249	0	0	1	3	1	0	1	0	1	2	1	0	50	0	5	0
PTS system, N-acetylglucosamine-specific IIC component (EC 2.7.1.69)	507	10499	4791	3219	539	3450	1352	1237	3453	58	5421	2996	1443	1329	1008	8911	4028	462	3188	1245	14681	5076
PTS system, sorbose-specific IIB component (EC 2.7.1.69)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
PTS system, sorbose-specific IIC component (EC 2.7.1.69)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
PTS system, sorbose-specific IID component (EC 2.7.1.69)	0	8	1	0	1	1	6	4	5	1	2	0	0	0	0	0	0	0	0	5	2	32
PTS system, sucrose-specific IIC component (EC 2.7.1.69)	6	174	26	172	89	12	14	135	87	14	162	85	40	18	12	4	12	4	477	8	54	81
PTS system, trehalose-specific IIA component (EC 2.7.1.69)	2066	341	40	145	1	50	7	0	129	2	226	0	1	1	1	0	1	2	2	5	87	152
PTS system, trehalose-specific IIC component (EC 2.7.1.69)	0	0	1	1	1	0	0	0	1	0	0	1	1	1	1	0	0	0	1	0	0	0
Pullulanase (EC 3.2.1.41)	131	114	1790	1688	1941	959	17346	3459	74	2177	42	3688	3974	2553	4421	5451	10407	5898	59	1510	55	18
Pup ligase PafA, possible component of postulated heterodimer PafA-PafA'	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pup ligase PafA' paralog, possible component of postulated heterodimer PafA-PafA'	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Purine nucleoside phosphorylase (EC 2.4.2.1)	26	56	37	16	4246	22	3953	6778	24	7756	510	4329	3425	4537	5775	2960	11965	5539	25	3521	19	19
Purine nucleotide synthesis repressor	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0
Purine trans deoxyribosylase (Nucleoside deoxyribosyltransferase-I) (EC 2.4.2.6)	546	3735	8863	9229	11	5599	2087	973	2459	18	1402	3016	911	987	868	2326	878	148	2884	683	2933	5623
PurR: transcription regulator associated with purine metabolism	14	2	4	6	1	2	3	2	7	1	1	4	2	1	2	4	1	1	17	1	5	4
Putative ABC transporter (ATP-binding protein), spy1791 homolog	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	1
Putative ABC transporter ATP-binding protein, spy1790 homolog	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0
Putative ABC transporter of substrate X, permease subunit II	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
Putative activity regulator of membrane protease YbbK	3	9	4	5	643	3	371	841	3	1766	8	267	413	302	523	444	1159	545	3	312	4	4
Putative aldolase YdjI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Putative amino-acid transport protein	3	9	3	3	594	3	3504	743	3	119	5	356	481	480	2118	314	549	258	3	97	2	1
Putative antibiotic transport-associated protein	0	0	0	0	3	0	0	0	0	2	0	2	3	1	1	1	4	1	0	0	0	0
Putative arylsulfatase regulatory protein	2	1	2	0	184	1	19	187	0	1354	0	678	0	1	2	14	1	1	0	7	0	1
putative ATP-dependent DNA helicase YjcD	0	2	0	0	8	0	2	6	0	2	0	7	4	1	0	0	1	3	0	1	0	0
Putative capsular polysaccharide transport protein YegH	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0
Putative carbohydrate kinase in cluster with fructose-bisphosphate aldolase	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	550
Putative carbohydrate PTS system, IIA component (EC 2.7.1.69)	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1	0	1	2	533
Putative carbohydrate PTS system, IIB component (EC 2.7.1.69)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	427
Putative carbohydrate PTS system, IIC component (EC 2.7.1.69)	0	0	0	5	0	1	0	3	0	0	0	0	1	1	3	0	3	0	0	0	1	730
Putative CDP-glycerol:glycerophosphate glycerophosphotransferase (EC 2.7.8.-)	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0
Putative CDP-glycosylpolyol phosphate:glycosylpolyol glycosylpolyolphosphotransferase	94	1	0	0	8	0	22	14	1	9	1	9	207	5	45	116	357	313	2	11	0	0
Putative conjugative transposon mobilization protein BF0132	629	924	234	260	281	265	165	195	775	124	263	227	288	203	424	573	649	250	364	172	4	4
Putative coproporphyrinogen III oxidase of BS HemN-type, oxygen-independent (EC 1.3.99.22), in heat shock gene cluster	53	64	36	30	1565	29	855	1487	31	372	33	1226	1489	504	712	634	1367	836	55	190	3	3
Putative cytochrome C-type biogenesis protein	1	1	67	1	9	1	1	9	1	2	2	3	1	1	1	1	3	1	1	1	1	1
Putative cytoplasmic protein clustered with trehalase	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Putative deacetylase YgeY	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
Putative deoxyribonuclease similar to YcfH, type 4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Putative deoxyribonuclease YcfH	4197	6067	5253	6468	2259	2648	5639	5872	4339	3066	2248	4263	3715	3516	5989	5284	6361	2737	1749	2599	1366	1450
Putative deoxyribonuclease YjjV	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
Putative deoxyribose-specific ABC transporter, ATP-binding protein	1	1	0	0	4	0	2	11	1	5	2	1	3	6	13	2	9	5	0	0	0	0
Putative deoxyribose-specific ABC transporter, permease protein	3	3	3	3	1751	4	47	2925	1	247	1	1487	183	538	541	109	591	146	2	4	1	1
Putative DHNTP pyrophosphatase	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Putative diaminopropionate ammonia-lyase (EC 4.3.1.15)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Putative dihydroxyacetone kinase (EC 2.7.1.29), ADP-binding subunit	1	2	0	0	213	3	18	869	0	302	1	205	672	840	326	240	721	76	0	0	0	0
Putative dihydroxyacetone kinase (EC 2.7.1.29), dihydroxyacetone binding subunit	0	2	0	1	327	2	16	1091	0	389	0	310	671	1274	499	220	742	113	1	0	0	0
Putative DNA-binding protein in cluster with Type I restriction-modification system	7	4	1089	1517	557	10	117	1212	3	507	4	125	343	368	551	157	185	532	2	556	2	2
Putative efflux (PET) family inner membrane protein YccS	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
Putative EsaC protein analog (Listeria type 3)	1	1	1	1	1	1	1	1	1	2	1	1	13	4	2	1	2	2	1	2	2	2
putative esterase	6	4	5	10	41	4	4	867	13	269	1	55	81	292	8	3	4219	6	25	1	1	1
Putative esterase, FIGfam005057	3	1	2	2	73	2	305	394	3	1469	1	52	615	520	1279	200	2528	1099	2	655	1	1
Putative glutathione transporter, ATP-binding component	4	0	1	1	2	0	72	11	0	35	0	12	65	18	229	24	89	104	1	74	2	1
Putative glutathione transporter, permease component	48	1	1	1	10	0	86	19	1	44	1	56	224	35	21	94	369	209	0	41	1	1
Putative glycogen debranching enzyme, archaeal type, TIGR01561	2	8	4	4	269	3	113	146	2	3671	3	108	1036	745	1008	357	2793	1005	4	240	1	1
Putative glycosyltransferase	6	37	14	251	120	5	91	184	3	333	5	39	226	433	615	99	988	380	463	389	16	1
putative glycosyltransferase - possibly involved in cell wall localization and side chain formation of rhamnose-glucose polysaccharide	0	0	0	0	111	0	0	4	0	39	0	38	7	6	32	0	9	1	0	1	0	0
Putative GTP-binding protien TM0445	3	10	2	2	406	2	538	383	4	73	78	570	1212	179	207	532	509	387	3	337	2	1
Putative heat shock protein YegD	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Putative Heme-regulated two-component response regulator	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
Putative Holliday junction resolvase (EC 3.1.-.-)	9192	21801	18315	25195	4199	15257	20091	15105	11901	10178	6915	17808	12726	14864	20411	24609	21225	9669	6239	8424	5209	6188
Putative inner membrane protein YjeT (clustered with HflC)	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	5	1	1	1	1	1
Putative lipase in cluster with Phosphatidate cytidylyltransferase	0	1	1	0	1	0	0	1	1	1	2	0	0	1	0	2	1	0	1	0	0	0
Putative lipoprotein, similar to CjrA of Escherichia coli O164	1	0	0	0	19	0	6	244	0	3	0	25	59	5	5	0	52	7	0	3	0	0
Putative membrane protein precursor SPs0273	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Putative membrane protein YeiH	536	941	393	24	228	63	314	612	1163	2515	684	200	324	1154	1496	132	2724	828	25	3172	330	620
Putative membrane protein YfcA	165	1158	86	196	210	39	166	63	630	51	717	65	173	115	155	162	294	99	519	42	437	926
Putative membrane protein, clustering with ActP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Putative membrane transporter ATPase,YhiD	249	40	737	1024	74	511	1430	765	23	82	10	815	341	758	1210	1267	732	310	521	469	63	118
Putative metal chaperone, involved in Zn homeostasis, GTPase of COG0523 family	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0
Putative metallopeptidase (Zinc) SprT family	4	5	3	25	1	1	5	2	1	2	2	2	3	2	3	2	5	2	324	2	3	14
Putative mobilization protein BF0133	4	3	3	2	39	2	5	14	1	22	2	27	3	49	36	10	59	8	3	11	2	2
Putative N-acetylgalactosaminyl-diphosphoundecaprenol glucuronosyltransferase	1	4	0	0	927	0	6	1249	1	95	1	771	150	141	191	33	150	31	2	2	4	5
Putative nucleoside transporter YegT	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Putative Nudix hydrolase YfcD (EC 3.6.-.-)	79	8	1	6	25	4735	822	228	1	57	4	2375	1635	75	1149	987	103	17	4	184	142	26
Putative oxidoreductase YcjS (EC 1.-.-.-), NADH-binding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Putative oxidoreductase YdjL	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Putative oxidoreductase YeaE, aldo/keto reductase family	1780	2738	132	159	4	1550	6	8	1182	2	1182	4	10	7	4	11	6	3	44	2	1221	1133
Putative oxidoreductase YncB	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Putative parvulin type peptidyl-prolyl isomerase, similarity with PrsA foldase	0	0	1	0	0	1	0	1	0	2	0	0	0	1	0	0	0	0	0	3	5	5
Putative permease often clustered with de novo purine synthesis	44	11	11	5	97	7	295	314	3	1639	4	176	888	516	902	704	2616	1584	5	562	3	4
Putative permease PerM (= YfgO)	0	0	0	0	29	0	0	2	0	17	0	1	0	0	0	0	0	0	0	1	0	0
Putative pheromone cAM373 precursor lipoprotein CamS	3595	11120	8106	11324	35	5713	4855	3340	4237	47	3442	3196	2104	3792	3184	6922	1260	354	4871	1371	5721	6998
Putative pheromone precursor lipoprotein	8	27	10	11	518	2	27	241	2	158	4	221	81	12	34	73	172	140	2	115	42	40
Putative phosphatase YieH	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
Putative phosphatase YqaB	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Putative phosphoenolpyruvate synthase/pyruvate phosphate dikinase, N-terminal domain	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Putative phosphoesterase, GBAA2539 homolog	0	2	0	0	146	1	2	16	0	4	0	18	8	0	0	0	10	5	0	0	0	0
Putative predicted metal-dependent hydrolase	3	7	310	345	487	150	1297	757	16	97	3	1025	535	502	620	637	736	373	4	201	12	5
Putative prenyltransferase, contains 1,4-dihydroxy-2-naphthoate octaprenyltransferase domain	502	519	25	49	9	95	11	3	199	1	215	4	2	3	4	1	3	1	3	5	394	745
Putative preQ0 transporter	6	11	4	4	322	4	119	379	2	2501	5	112	468	1596	436	56	1699	1162	5	1808	5	2
Putative primase, superantigen-encoding pathogenicity islands SaPI	0	0	15	2	0	0	2	0	144	1	185	1	1	0	0	0	0	0	0	0	0	302
Putative reductase (alkanesulfonate metabolism)	1	0	1	0	261	1	0	3	0	0	1	105	531	0	0	0	2	0	0	0	0	0
Putative regulator of the mannose operon, ManO	2847	11236	24729	24012	1099	41287	44512	17772	5230	7578	4194	34489	12233	65360	32215	45419	45014	2056	16483	5415	10130	16598
Putative regulatory protein associated with the ectoine operon	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Putative ribose uptake protein RbsU, GRP transporter family (TC 2.A.7.5)	4769	619	121	1163	3	117	5	5	807	10	330	6	5	3	3	4	5	3	26	6	424	628
Putative secretion accessory protein EsaA/YueB	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Putative secretion accessory protein EsaB/YukD	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	1	1	1
Putative secretion system component EssB/YukC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Putative sensor-like histidine kinase YfhK	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Putative sensory histidine kinase YfhA	0	0	0	0	5	0	0	0	1	0	0	1	0	1	1	0	1	1	0	0	0	0
Putative signal peptidase I (EC 3.4.21.89)	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Putative stomatin/prohibitin-family membrane protease subunit YbbK	320	1965	876	1255	2333	715	3198	5807	1138	5045	824	3898	1932	4121	5711	2701	6451	2088	352	1140	1518	2340
Putative succinate dehydrogenase cytochrome b subunit	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Putative sucrose phosphorylase (EC 2.4.1.7)	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Putative sugar ABC transport system, ATP-binding protein YtfR (EC 3.6.3.17)	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
Putative sugar ABC transport system, periplasmic binding protein YtfQ precursor	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	0
Putative sugar ABC transport system, permease protein YtfT	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Putative sugar isomerase involved in processing of exogenous sialic acid	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Putative sugar transporter	1	3	2	2	62	2	61	111	1	315	2	16	79	175	300	45	565	251	2	366	2	1
Putative sulfate permease	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Putative tail or base plate protein gp17 [Bacteriophage A118]	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Putative TEGT family carrier/transport protein	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	1	3	0	0	0	0	0
Putative teichuronic acid biosynthesis glycosyl transferase TuaC	0	0	0	0	1	0	1	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0
Putative Ton-B dependent hemine receptor	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Putative transcriptional regulator of sorbose uptake and utilization genes	5439	132	14770	14501	89	8368	6900	4818	229	105	52	7258	3393	3491	6489	14558	4261	640	179	1881	620	263
Putative transcriptional regulator of unknown carbohydrate utilization cluster, GntR family	1	1	1	1	2	1	3	4	1	3	1	3	7	2	1	1	2	1	2	47	42	34528
Putative transport protein YdjK, MFS superfamily	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
Putative two component system histidine kinase YedV	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Putative two-component response regulator and GGDEF family protein YeaJ	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
Putative two-component system response regulator YedW	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
Putative two-domain glycosyltransferase	1	1	1	1	6	1	6	59	1	2	1	10	26	1	10	1	87	10	1	2	1	1
Putative uncharacterized protein in cluster with two glycosyl transferases	1	0	0	0	106	0	5	228	0	15	1	162	17	32	20	7	16	6	1	0	0	0
Putative xanthosine permease	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PutR, transcriptional activator of PutA and PutP	0	1	0	0	178	2	24	209	0	1774	2	868	1	2	2	1	1	6	0	1	1	1
Putrescine ABC transporter putrescine-binding protein PotF (TC 3.A.1.11.2)	0	1	0	0	1	0	0	15	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Putrescine aminotransferase (EC 2.6.1.82)	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Putrescine importer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Putrescine transport ATP-binding protein PotA (TC 3.A.1.11.1)	587	2246	1365	1868	591	733	903	1526	1277	207	952	1218	585	764	748	1054	667	157	721	549	1082	880
Putrescine transport ATP-binding protein PotG (TC 3.A.1.11.2)	6	0	0	0	10	0	5	6	0	3	0	1	8	2	1	1	15	4	1	0	0	0
Putrescine transport system permease protein PotH (TC 3.A.1.11.2)	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Putrescine transport system permease protein PotI (TC 3.A.1.11.2)	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Putrescine/proton symporter, putrescine/ornithine antiporter PotE	12	11	12	3	577	4	473	817	2	706	5	856	588	303	602	455	2219	945	4	1215	2	1
Pyoverdine sidechain non-ribosomal peptide synthetase PvdJ	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyridoxal kinase (EC 2.7.1.35)	1209	12741	929	418	198	296	803	773	5633	2151	4252	271	1121	1253	1764	1091	2509	1415	12	692	2289	2564
Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5)	1	0	0	0	73	0	2	1	0	8	0	0	0	0	0	0	3	0	0	0	0	0
Pyridoxine 5'-phosphate synthase (EC 2.6.99.2)	0	0	0	0	5	0	0	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0
Pyridoxine biosynthesis glutamine amidotransferase, glutaminase subunit (EC 2.4.2.-)	112	26	24	10	1767	18	1016	4908	13	5020	17	1892	1547	1111	2034	805	6045	2388	7	2491	7	5
Pyridoxine biosynthesis glutamine amidotransferase, synthase subunit (EC 2.4.2.-)	106	26	36	11	4047	19	717	6000	9	5411	50	4601	2060	1222	2748	683	4362	2007	9	1619	5	6
Pyrimidine deoxynucleoside triphosphate (dYTP) pyrophosphohydrolase YfoO	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
